Poem Name,Poet,Line,Metaphor present or not,Count of the metaphor,Metaphorical terms
පාන්දරම,මහේන් සූරි,කැකුළු මලක සුවඳයි ලඟ දැවටෙන කෙහෙරැලි ගොන්නේ,yes,1,කැකුළු මලක සුවඳයි 
පාන්දරම,මහේන් සූරි,යහළු වෙලා මටත් හොරෙන් සියොළඟ කිති කවමින්නේ,no,0,
පාන්දරම,මහේන් සූරි,මුකුළු හෙළයි තොරක් නැතිව සුදු සඳ රැස් රෑ පින්නේ,no,0,
පාන්දරම,මහේන් සූරි,එකලු කරයි ආත්මයම නුඹෙ සිසි වත මල් දුන්නේ,yes,1,නුඹෙ සිසි වත මල් දුන්නේ
අප්පච්චී,මහේන් සූරි,ඝන නිල් අහස යට තුරු ගොමුවක විසුම,no,0,
අප්පච්චී,මහේන් සූරි,දහඩිය සුවඳ තුරුලේ මද නල යැපුම,no,0,
අප්පච්චී,මහේන් සූරි,ඔබෙ රළු කයට බරවී සෙනෙහස ලැබුම,no,0,
අප්පච්චී,මහේන් සූරි,මට දෙව්ලොවකි අප්පච්චී තනිකරම,yes,1,දෙව්ලොවකි අප්පච්චී
ඈ,අනුර ගුණතිලක,දරන්නට සිතට බැහැ දුකත් මහමෙර තරන්,yes,1,දුකත් මහමෙර තරන්
ඈ,අනුර ගුණතිලක,නො එන්නම දෙතොලඟට නොදුන්නෙමි සිර කරන්,no,0,
ඈ,අනුර ගුණතිලක,‍රැඳෙන්නිය අසරණිය සිතින් හැම දෙය දරන්,no,0,
ඈ,අනුර ගුණතිලක,හඬන්නද කෙලෙස මා ඉතින් කඳුලැලි පෙරන්,no,0,
අසිරිය,අනුර ගුණතිලක,මිහිඳුම් සළු හිමිදිරියේ පෙම්වතෙකු ලෙසින්,yes,1,මිහිඳුම් සළු හිමිදිරියේ
අසිරිය,අනුර ගුණතිලක,දිය සේලය වැළඳ ගනියි සංවාසය ලෙසින්,no,0,
අසිරිය,අනුර ගුණතිලක,ප්‍රේමාලිංගනයෙහි රස විඳිනෙමි සිත තොසින්,no,0,
අසිරිය,අනුර ගුණතිලක,දෙනුවන් ඇද බැඳ තබනුයේ මන් මත් වන රසින්,no,0,
අසිරිය,අනුර ගුණතිලක,කඳු මුදුනින් උපත ලබා දිය බුබුළක වෙසින්,no,0,
අසිරිය,අනුර ගුණතිලක,ගලා හැලෙන සුදු සේලය දුටිමි සොඳුරු ඇසින්,yes,1,ගලා හැලෙන සුදු සේලය
අසිරිය,අනුර ගුණතිලක,විඳ ගත්තෙමි මිහිරියාව සොබා දමෙහි රසින්,no,0,
අසිරිය,අනුර ගුණතිලක,එහි අසිරිය සිරිය මවයි සිතුවම් කවි බසින්,no,0,
රඟන රැඟුම්,අනුර ගුණතිලක,ඇසුම දැකුම වැදි බණ ලෙස දෙසන දෙසුම්,no,0,
රඟන රැඟුම්,අනුර ගුණතිලක,පවක උපත මනු දම් මුව අගුළු වැසුම්,yes,1,පවක උපත මනු දම් මුව අගුළු වැසුම්
රඟන රැඟුම්,අනුර ගුණතිලක,ඇසෙන විටදි සරසවි මව හෙළන සුසුම්,no,0,
රඟන රැඟුම්,අනුර ගුණතිලක,සිතුණි මෙමට පිපෙනු කුමට දුගඳ කුසුම්,no,0,
දිනක ඇරඹුම,අනුර ගුණතිලක,දුක සැප හමුවෙහි දිවියක්,no,0,
දිනක ඇරඹුම,අනුර ගුණතිලක,පරිණත කම හොඳ අවියක්,yes,1,පරිණත කම හොඳ අවියක්
දිනක ඇරඹුම,අනුර ගුණතිලක,දිවියට ගෙන දෙන සවියක්,no,0,
දිනක ඇරඹුම,අනුර ගුණතිලක,දවසක ඇරඹුම කවියක්,no,0,
දිනක ඇරඹුම,අනුර ගුණතිලක,විටකදි සිත දිය සුළියක්,yes,1,සිත දිය සුළියක්
දිනක ඇරඹුම,අනුර ගුණතිලක,දිනකදි තව ගිනි කෙළියක්,yes,1,දිනකදි තව ගිනි කෙළියක්
දිනක ඇරඹුම,අනුර ගුණතිලක,නොමවනු උතුරන හැළියක්,no,0,
දිනක ඇරඹුම,අනුර ගුණතිලක,දිවියට දෙමු කල එළියක්,no,0,
බණ පොතක්,අනුර ගුණතිලක,අබියෝග හමුවේ නොසැලේවි කවි සිතක් ,no,0,
බණ පොතක්,අනුර ගුණතිලක,අද විඳින දුක සුසුම හෙට දිනයෙ සරු කෙතක්,yes,1,දුක සුසුම හෙට දිනයෙ සරු කෙතක්
බණ පොතක්,අනුර ගුණතිලක,කඳුළේ දි හිනැහෙන්න කරගෙනම මෙය මතක්,no,0,
බණ පොතක්,අනුර ගුණතිලක,ඉවසීම සැනසීම ගෙන දෙන ම බණ පොතක්,yes,1,ඉවසීම සැනසීම ගෙන දෙන ම බණ පොතක්
ඇලීම්,අනුර ගුණතිලක,මා වටා නෙත් රැසක්,no,0,
ඇලීම්,අනුර ගුණතිලක,ආදරෙන් සිත් ගොඩක්,no,0,
ඇලීම්,අනුර ගුණතිලක,ඒ වුණත් ඇලීමත්,no,0,
ඇලීම්,අනුර ගුණතිලක,ගැලීමක් ගිනි ගොඩක්,yes,1,ගැලීමක් ගිනි ගොඩක්
සිඟිති දුවේ,අනුර ගුණතිලක,ළදලු සදිසි සුමුදු ලවන්,yes,1,ළදලු සදිසි සුමුදු ලවන්
සිඟිති දුවේ,අනුර ගුණතිලක,සලනුයෙ සිත නිවන පවන්,no,0,
සිඟිති දුවේ,අනුර ගුණතිලක,පියාසලා ගතව ගුවන්,no,0,
සිඟිති දුවේ,අනුර ගුණතිලක,එන්න සිතෙයි ළඟට දුවන්,no,0,
දෙව්දුව,අනුර ගුණතිලක,අඳුරට පාර පෙන්වන තාරකාවක්,no,0,
දෙව්දුව,අනුර ගුණතිලක,දිවි සරතැස නිවාලයි පා සිනාවක් ,no,0,
දෙව්දුව,අනුර ගුණතිලක,නොම දුන් කිසිම විටෙකදි වේදනාවක්,no,0,
දෙව්දුව,අනුර ගුණතිලක,ඇය මට දෙව්දුවකි එය වාසනාවක්,yes,1,ඇය මට දෙව්දුවකි
දෙව්දුව,අනුර ගුණතිලක,සුළු දෙයකට ද නෙතඟට කඳුළැලි පිරුණ,no,0,
දෙව්දුව,අනුර ගුණතිලක,අවිහිංසක ගුණය ගැන කරනුයෙ වරුණ,no,0,
දෙව්දුව,අනුර ගුණතිලක,දවසින් දවස පෙම් සිත වනුයෙද තරුණ,no,0,
දෙව්දුව,අනුර ගුණතිලක,සම කළ උවම සොඳුරිය හිමිදිරි අරුණ,yes,1,සොඳුරිය හිමිදිරි අරුණ
තරු හඬයි ,අනුර ගුණතිලක,හෙළූ කඳුලැලි බිංදු නෙතු අගින් ගිලිහිලා,no,0,
තරු හඬයි ,අනුර ගුණතිලක,මට හොරෙන් ඉගිල ගොස් නුබ ගැබෙහි තරු වෙලා,yes,1,නුබ ගැබෙහි තරු වෙලා
තරු හඬයි ,අනුර ගුණතිලක,නිවෙනුයෙ දිලෙනුයේ ඈත රැඳෙමින වලා,no,0,
තරු හඬයි ,අනුර ගුණතිලක,ඔබ සතුටු වනවාද ඒ දෙසම බල බලා,no,0,
යුතුකම,අනුර ගුණතිලක,එකම මඟක ගමන් කළත් සැකය මතින් බේදයක්‍ ය,no,0,
යුතුකම,අනුර ගුණතිලක,මිතුරු කමත් නසන ගමන් එතැන ඉඳන් වාදයක් ය,no,0,
යුතුකම,අනුර ගුණතිලක,හොරණෑ සම බටනළාව නමුදු වෙනස් තාලයක් ය,no,0,
යුතුකම,අනුර ගුණතිලක,දෙපැත්තටම රවුම් දුවන මිනිස් සිතත් රෝදයක් ය,yes,1,මිනිස් සිතත් රෝදයක් ය
අවසර ද ...,අනුර ගුණතිලක,කාලයේ වැලිතලා,yes,1,කාලයේ වැලිතලා
අවසර ද ...,අනුර ගුණතිලක,යට කළත් අතීතය,no,0,
අවසර ද ...,අනුර ගුණතිලක,ජීවිතේ වෙනස්කම්,no,0,
අවසර ද ...,අනුර ගුණතිලක,ඉවසීමි හිනැහෙමින්,no,0,
කවිය නම් ...,අනුර ගුණතිලක,"පළඳනුයෙ සළුපිළිය අරුත, රස, ගුණ බැඳුණු",no,0,
කවිය නම් ...,අනුර ගුණතිලක,අතුරනුයෙ මනු දහම සයුරටය දිය සිඳුණු,yes,1,මනු දහම සයුරටය දිය සිඳුණු
කවිය නම් ...,අනුර ගුණතිලක,සරි කරනු බැරි වුවද දිය බඳුන යළි බිඳුණු,no,0,
කවිය නම් ...,අනුර ගුණතිලක,සැනසුමක මිස කුමට කැළඹුමක තතු රැඳුණු,no,0,
මුළු ලොවම කවියක්,අනුර ගුණතිලක,කවිය මහ සවියක්,no,0,
මුළු ලොවම කවියක්,අනුර ගුණතිලක,වරද හමුවෙ දි අවියක්,yes,1,වරද හමුවෙ දි අවියක්
මුළු ලොවම කවියක්,අනුර ගුණතිලක,සනසවන දිවියක්,no,0,
මුළු ලොවම කවියක්,අනුර ගුණතිලක,කවියකුට මුළු ලොවම කවියක්,yes,1,මුළු ලොවම කවියක්
ඉතින් අවසරයි,අනුර ගුණතිලක,ගෙත්තමක් ගෙතු සේ එකට බැඳි අතට අත,no,0,
ඉතින් අවසරයි,අනුර ගුණතිලක,දස්කමක් වුණාවේ බෙදී ගිය කුලක නැත,no,0,
ඉතින් අවසරයි,අනුර ගුණතිලක,සිත්තමක් සිනාසෙයි පිවිතුරුය සෙනෙහෙ සිත,yes,1,සිත්තමක් සිනාසෙයි පිවිතුරුය සෙනෙහෙ සිත
ඉතින් අවසරයි,අනුර ගුණතිලක,විස්කමක් කළා මෙහි ඇත්තමයි මුහුණු පොත,no,0,
විරහව,අනුර ගුණතිලක,නිම් තෙරක් නොදුටු ගමන් මගේ මිරිඟු දියක් වෙලා,no,0,
විරහව,අනුර ගුණතිලක,සිත තළා පෙළා මුළාවකින් මාව අහිමි කළා,no,0,
විරහව,අනුර ගුණතිලක,සැදූ අනාගතේ සිහින විමන් සැණින් බිමට හෙළා,yes,1,අනාගතේ සිහින විමන්
විරහව,අනුර ගුණතිලක,දුර අතීතයේ සොඳුරු මතක ඔබ මිහිදන් කළා,no,0,
අහිසකාවිය,අනුර ගුණතිලක,යක් වෙස් ගත් නෙත්,yes,1,යක් වෙස් ගත් නෙත්
අහිසකාවිය,අනුර ගුණතිලක,බැල්මක රිදුමෙන් ,no,0,
අහිසකාවිය,අනුර ගුණතිලක,අසරණ කරමින්,no,0,
අහිසකාවිය,අනුර ගුණතිලක,හැඬවීය අහිංසකාවිය,no,0,
රැය,අනුර ගුණතිලක,මුමුණයි රස රහස්,no,0,
රැය,අනුර ගුණතිලක,දිලෙමින් තරු අඹරේ,no,0,
රැය,අනුර ගුණතිලක,සොබදම් කුමරියගේ,yes,1,සොබදම් කුමරියගේ
රැය,අනුර ගුණතිලක,අරුමය පුදුමය කියා,no,0,
උරුමය,අනුර ගුණතිලක,කුමටද වෙනසක්,no,0,
උරුමය,අනුර ගුණතිලක,ජාති කුල මල ආගම්,no,0,
උරුමය,අනුර ගුණතිලක,ඉවතට ලමු කෝලම්,no,0,
උරුමය,අනුර ගුණතිලක,තනමුද සමගියේ පාලම්,yes,1,සමගියේ පාලම්
දිගුව,අනුර ගුණතිලක,නිවහන විය සිරුර,yes,1,නිවහන විය සිරුර
දිගුව,අනුර ගුණතිලක,මම වෙමි එහි දොර යතුර,yes,1,මම වෙමි එහි දොර යතුර
දිගුව,අනුර ගුණතිලක,යන දිනයකි මෙය අතැර,no,0,
දිගුව,අනුර ගුණතිලක,කිසිවකු නොම වන නතර,no,0,
සොඳුරු හදවත්,අනුර ගුණතිලක,සොබා දම රහසක්,yes,1,සොබා දම රහසක්
සොඳුරු හදවත්,අනුර ගුණතිලක,පිපෙයි මල් දස දහසක්,no,0,
සොඳුරු හදවත්,අනුර ගුණතිලක,සොඳුරුතම පහසක්,no,0,
සොඳුරු හදවත්,අනුර ගුණතිලක,ලැබෙන සුවබර නැවුම් දවසක්,no,0,
ලොවම දිනා,අනුර ගුණතිලක,සිනහව දැක සිඟිති මුවේ,no,0,
ලොවම දිනා,අනුර ගුණතිලක,විඳිනෙමි ලොව අමිල සුවේ,no,0,
ලොවම දිනා,අනුර ගුණතිලක,රන් මිණි මුතු කුමට ලොවේ,no,0,
ලොවම දිනා,අනුර ගුණතිලක,මගෙ වස්තුව නුඹය දුවේ,yes,1,මගෙ වස්තුව නුඹය
ලොවම දිනා,අනුර ගුණතිලක,මිණි පහනකි එළිය දෙනා,yes,1,මිණි පහනකි එළිය දෙනා
ලොවම දිනා,අනුර ගුණතිලක,නිවසට සිරි අසිරි ගෙනා,no,0,
ලොවම දිනා,අනුර ගුණතිලක,සුරලොව සුරඟනකි මෙනා,no,0,
ලොවම දිනා,අනුර ගුණතිලක,මුළු ලොව මම ගතිමි දිනා,no,0,
ගස් වවමු,අනුර ගුණතිලක,සිතුවිලි ගිනිගත් නිවමු,no,0,
ගස් වවමු,අනුර ගුණතිලක,නුවණැස නම් පැන් පොවමු,yes,1,නුවණැස නම් පැන් පොවමු
ගස් වවමු,අනුර ගුණතිලක,සුබ පණිවිඩයක් යවමු,no,0,
ගස් වවමු,අනුර ගුණතිලක,හැම තැනකම ගස් වවමු,no,0,
ඇය ගියදා,අනුර ගුණතිලක,තණ අග පිනි වැනිය හඳුනන නමුදු පණක්,no,0,
ඇය ගියදා,අනුර ගුණතිලක,සවනට වැකෙන විට වදයකි දෙසන බණක්,yes,1,වදයකි දෙසන බණක්
ඇය ගියදා,අනුර ගුණතිලක,මතකය මියෙනවද හැරගිය විටෙක දිනක්,no,0,
ඇය ගියදා,අනුර ගුණතිලක,මට මා දකින්නට හෙට සිට නොමැත පිනක්,no,0,
මහ ගසක්,අනුර ගුණතිලක,හමුවීම සැනසුමක්,yes,1,හමුවීම සැනසුමක්
මහ ගසක්,අනුර ගුණතිලක,වෙන්වීම වැලපුමක්,yes,1,වෙන්වීම වැලපුමක්
මහ ගසක්,අනුර ගුණතිලක,නොමැති තැන පිළියමක්,no,0,
මහ ගසක්,අනුර ගුණතිලක,පසක් කරනුයෙ යමක්,no,0,
